Matricula,PR1,PR2,PR3,Total,E.F,N.F.,Teoricas,Nota
994,49,75,64.5,63,0,63,10,63
1634,45,60,74,60,0,60,4,60
2057,12,5,0,6,0,6,4,6
2159,73,35,72.5,60,0,60,14,60
2593,19,1,0,7,0,7,6,7
2631,58,100,77,78,0,78,8,78
2662,18,42,62,41,0,41,10,41
2667,68,60,80,69,0,69,10,69
2862,9,0,0,3,0,3,22,L
2962,20,15,0,12,0,12,6,12
2997,30,19,32,27,0,27,12,27
3000,20,40,20,27,0,27,4,27
3155,49,45,85,60,0,60,14,60
3165,52,33,56,47,0,47,24,L
3183,45,5,39,30,0,30,14,30
3186,15,40,15,23,0,23,2,23
3189,32,30,64.5,42,0,42,4,42
3219,45,1,0,15,0,15,2,15
3311,40,30,55,42,0,42,30,L
3384,40,52.5,72.5,55,0,55,6,55
3385,54,92.5,61,69,0,69,4,69
3386,46,59,65,57,0,57,8,57
3388,65,95,30,63,0,63,12,63
3390,49,40,95,61,0,61,8,61
3392,57,85,81,74,0,74,0,74
3396,50,85,88,74,0,74,6,74
3398,70,45,72.5,63,0,63,10,63
3400,36,20,99,52,0,52,6,52
3401,45,60,76,60,0,60,6,60
3465,45,100,70,72,0,72,0,72
3468,35,42,0,26,0,26,22,L
3471,40,77,37.5,52,0,52,18,L
3479,58,95,70.5,75,0,75,0,75
3480,40,25,52,39,0,39,12,39
3485,0,0,0,0,0,0,46,L
3488,53,77,59,63,0,63,4,63
3489,73,95,59,76,0,76,10,76
3493,68,70,66,68,0,68,14,68
3494,60,65,56,60,0,60,8,60
3496,46,50,70,55,0,55,12,55
3497,50,90,47,62,0,62,14,62
3498,41,47,45,44,0,44,36,L
3501,45,30,0,25,0,25,32,L
3503,76,65,62.5,68,0,68,6,68
3506,36,60,39,45,0,45,2,45
3629,35,25,12,24,0,24,10,24
