Matricula,PR1,PR2,PR3,Total,E.F,N.F.,Teorica,Nota
216,51,60,68,60,0,60,14,60
1412,40,40,60,47,0,47,18,L
2202,25,25,55,35,0,35,0,35
2393,75,100,85,87,0,87,8,87
2400,15,15,0,10,0,10,12,10
2586,43,86,50,60,0,60,8,60
2600,38.5,80,60,60,0,60,10,60
2603,62.5,66,50,60,0,60,0,60
2839,32,40,50,41,0,41,8,41
2863,45,35,0,27,0,27,14,27
2959,90,100,100,97,0,97,0,97
2960,45,62,50,52,0,52,10,52
2961,75,100,100,92,0,92,2,92
2963,61,73,55,63,0,63,10,63
2964,45,90,65,67,0,67,2,67
2965,65,95,75,78,0,78,0,78
2968,43,80,65,63,0,63,4,63
2974,1,18,60,26,0,26,6,26
2981,70,95,55,73,0,73,6,73
2982,37,90,60,62,0,62,12,62
2984,50,80,50,60,0,60,18,L
2985,78,95,75,83,0,83,6,83
2986,40,80,65,62,0,62,2,62
2988,42,80,65,62,0,62,2,62
2989,65,48,70,61,0,61,2,61
2991,30,21,0,17,0,17,14,17
2992,35,80,65,60,0,60,8,60
2996,46,83,50,60,0,60,6,60
2999,50,50,55,52,0,52,4,52
3153,30,95,70,65,0,65,10,65
3161,55,90,65,70,0,70,8,70
3444,0,0,0,0,0,0,44,L
