Matricula,PR1,PR2,PR3,Total,E.F,N.F.,Faltas,Nota
1091,20,35,13,23,0,23,10,23
1182,23,25,47.5,32,0,32,4,32
1328,54,20,15,30,0,30,8,30
1331,20,15,0,12,0,12,16,L
1551,16,1,40,19,0,19,14,19
1632,5,25,40,23,0,23,16,L
2004,10,0,0,3,0,3,0,J
2237,35,10,41,29,0,29,6,29
2467,27,1,10,13,0,13,24,L
2471,8,5,55,23,0,23,6,23
2595,27,1,15.5,15,0,15,14,15
2605,26,0,29,18,0,18,8,18
2637,0,0,0,0,0,0,26,L
2648,39,90,50,60,0,60,12,60
2649,20,30,0,17,0,17,12,17
2820,20,0,0,7,0,7,24,L
2832,46,45,94,62,0,62,6,62
2967,26,30,9,22,0,22,12,22
2975,1,0,0,0,0,0,20,L
2994,5,5,0,3,0,3,14,3
3147,8,0,0,3,0,3,34,L
3150,42,35,62.5,47,0,47,6,47
3201,34,47.5,87.5,56,0,56,4,56
3213,20,20,10,17,0,17,12,17
3240,6,10,25,14,0,14,8,14
3247,23,7.5,15,15,0,15,12,15
3264,23,15,33,24,0,24,4,24
3287,26,37.5,56,40,0,40,4,40
3289,0,0,0,0,0,0,0,J
3346,23,25,0,16,0,16,18,L
3347,30,92.5,60,61,0,61,14,61
3464,30,70,39.5,47,0,47,0,47
3474,60,87.5,61,70,0,70,6,70
3475,32,80,24,45,0,45,14,45
3483,45,97.5,33,59,0,59,2,59
3486,44,5,0,16,0,16,18,L
3500,45,55,50,50,0,50,4,50
3504,20,40,40.5,34,0,34,14,34
3510,10,80,65.5,52,0,52,16,L
3511,30,35,0,22,0,22,26,L
